Symbol,Instrument_Key
360ONE,NSE_EQ|INE466L01038
3MINDIA,NSE_EQ|INE470A01017
ABB,NSE_EQ|INE117A01022
ACC,NSE_EQ|INE012A01025
ACMESOLAR,NSE_EQ|INE622W01025
AIAENG,NSE_EQ|INE212H01026
APLAPOLLO,NSE_EQ|INE702C01027
AUBANK,NSE_EQ|INE949L01017
AWL,NSE_EQ|INE699H01024
AADHARHFC,NSE_EQ|INE883F01010
AARTIIND,NSE_EQ|INE769A01020
AAVAS,NSE_EQ|INE216P01012
ABBOTINDIA,NSE_EQ|INE358A01014
ACE,NSE_EQ|INE731H01025
ADANIENSOL,NSE_EQ|INE931S01010
ADANIENT,NSE_EQ|INE423A01024
ADANIGREEN,NSE_EQ|INE364U01010
ADANIPORTS,NSE_EQ|INE742F01042
ADANIPOWER,NSE_EQ|INE814H01029
ATGL,NSE_EQ|INE399L01023
ABCAPITAL,NSE_EQ|INE674K01013
ABFRL,NSE_EQ|INE647O01011
ABLBL,NSE_EQ|INE14LE01019
ABREL,NSE_EQ|INE055A01016
ABSLAMC,NSE_EQ|INE404A01024
AEGISLOG,NSE_EQ|INE208C01025
AEGISVOPAK,NSE_EQ|INE0INX01018
AFCONS,NSE_EQ|INE101I01011
AFFLE,NSE_EQ|INE00WC01027
AJANTPHARM,NSE_EQ|INE031B01049
AKUMS,NSE_EQ|INE09XN01023
AKZOINDIA,NSE_EQ|INE133A01011
APLLTD,NSE_EQ|INE901L01018
ALKEM,NSE_EQ|INE540L01014
ALKYLAMINE,NSE_EQ|INE150B01039
ALOKINDS,NSE_EQ|INE270A01029
ARE&M,NSE_EQ|INE885A01032
AMBER,NSE_EQ|INE371P01015
AMBUJACEM,NSE_EQ|INE079A01024
ANANDRATHI,NSE_EQ|INE463V01026
ANANTRAJ,NSE_EQ|INE242C01024
ANGELONE,NSE_EQ|INE732I01013
APARINDS,NSE_EQ|INE372A01015
APOLLOHOSP,NSE_EQ|INE437A01024
APOLLOTYRE,NSE_EQ|INE438A01022
APTUS,NSE_EQ|INE852O01025
ASAHIINDIA,NSE_EQ|INE439A01020
ASHOKLEY,NSE_EQ|INE208A01029
ASIANPAINT,NSE_EQ|INE021A01026
ASTERDM,NSE_EQ|INE914M01019
ASTRAZEN,NSE_EQ|INE203A01020
ASTRAL,NSE_EQ|INE006I01046
ATHERENERG,NSE_EQ|INE0LEZ01016
ATUL,NSE_EQ|INE100A01010
AUROPHARMA,NSE_EQ|INE406A01037
AIIL,NSE_EQ|INE206F01022
DMART,NSE_EQ|INE192R01011
AXISBANK,NSE_EQ|INE238A01034
BASF,NSE_EQ|INE373A01013
BEML,NSE_EQ|INE258A01024
BLS,NSE_EQ|INE153T01027
BSE,NSE_EQ|INE118H01025
